model,dataset,condition,score_key,successes,total,rate,cutoff_rate,accuracy_excluding_cutoffs,accuracy_delta_excluding_cutoffs,sample_interval_low,sample_interval_high,problem_count,problem_mean,problem_interval_low,problem_interval_high,min_samples_per_problem,max_samples_per_problem,mean_samples_per_problem,failures,cutoffs,max_tokens,max_model_length,temperature,top_p,n_samples,num_distractors,file,path
claude-opus-4-6,HuggingFaceH4_aime_2024,compound:d3,correct,205,240,0.8541666666666666,0.0,0.8541666666666666,0.0,0.8039371300311199,0.8932367730272589,30,0.8541666666666666,0.7583333333333333,0.9375,8,8,8.0,0,0,,,,,,3,claude-opus-4-6_HuggingFaceH4_aime_2024_compound_20260322_235812.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/compound/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_compound_20260322_235812.json
claude-opus-4-6,HuggingFaceH4_aime_2024,interleaved_context_line,correct,117,120,0.975,0.0,0.975,0.0,0.9290687625956524,0.9914619799012145,30,0.975,0.9416666666666667,1.0,4,4,4.0,0,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_line_20260309_000512.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_line/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_line_20260309_000512.json
claude-opus-4-6,HuggingFaceH4_aime_2024,interleaved_context_symbol,correct,39,120,0.325,0.0,0.325,0.0,0.24775726408835433,0.41309983078122114,30,0.325,0.175,0.48333333333333334,4,4,4.0,55,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_symbol_20260309_000512.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_symbol/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_symbol_20260309_000512.json
claude-opus-4-6,HuggingFaceH4_aime_2024,interleaved_context_word,correct,108,120,0.9,0.0,0.9,0.0,0.8333168001483641,0.9418669830068925,30,0.9,0.8083333333333333,0.975,4,4,4.0,0,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_word_20260305_215825.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_word/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_interleaved_context_word_20260305_215825.json
claude-opus-4-6,HuggingFaceH4_aime_2024,not_not,correct,232,240,0.9666666666666667,0.0,0.9666666666666667,0.0,0.9356144031625503,0.983014739690843,30,0.9666666666666667,0.925,0.9958333333333333,8,8,8.0,0,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_not_not_20260311_184939.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/not_not/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_not_not_20260311_184939.json
claude-opus-4-6,HuggingFaceH4_aime_2024,opposites,correct,110,120,0.9166666666666666,0.0,0.9166666666666666,0.0,0.8533762622701224,0.9541068451832697,30,0.9166666666666666,0.8333333333333334,0.9833333333333333,4,4,4.0,4,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_opposites_20260309_000512.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/opposites/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_opposites_20260309_000512.json
claude-opus-4-6,HuggingFaceH4_aime_2024,rail_fence,correct,2,120,0.016666666666666666,0.0,0.016666666666666666,0.0,0.004582468541151394,0.058737126812913806,30,0.016666666666666666,0.0,0.05,4,4,4.0,72,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_rail_fence_20260305_215825.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rail_fence/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_rail_fence_20260305_215825.json
claude-opus-4-6,HuggingFaceH4_aime_2024,rectangle_perimeter,correct,18,240,0.075,0.0,0.075,0.0,0.047964373455778676,0.11542694287416666,30,0.075,0.004166666666666667,0.17083333333333334,8,8,8.0,208,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_rectangle_perimeter_20260313_112241.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rectangle_perimeter/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_rectangle_perimeter_20260313_112241.json
claude-opus-4-6,HuggingFaceH4_aime_2024,sentence_reversal,correct,230,240,0.9583333333333334,0.0,0.9583333333333334,0.0,0.9250122267389824,0.9772128242777431,30,0.9583333333333334,0.9083333333333333,0.9958333333333333,8,8,8.0,0,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_sentence_reversal_20260312_022325.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/sentence_reversal/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_sentence_reversal_20260312_022325.json
claude-opus-4-6,HuggingFaceH4_aime_2024,snake_horizontal,correct,78,240,0.325,0.0,0.325,0.0,0.2689034678894557,0.38661060354052174,30,0.325,0.17083333333333334,0.4791666666666667,8,8,8.0,157,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_snake_horizontal_20260313_112241.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_horizontal/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_snake_horizontal_20260313_112241.json
claude-opus-4-6,HuggingFaceH4_aime_2024,snake_vertical,correct,7,240,0.029166666666666667,0.0,0.029166666666666667,0.0,0.014198549663490417,0.058970261564782356,30,0.029166666666666667,0.0,0.08333333333333333,8,8,8.0,161,0,,,,,,,claude-opus-4-6_HuggingFaceH4_aime_2024_snake_vertical_20260313_112241.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_vertical/results/claude-opus-4-6/HuggingFaceH4_aime_2024/claude-opus-4-6_HuggingFaceH4_aime_2024_snake_vertical_20260313_112241.json
