model,dataset,transformation,total,recovered_rate,recovered_rate_tagged,recovered_rate_spacing_sensitive,stub_rate,tagged_rate,exact_match_rate,cer_mean,cer_p25,cer_p50,cer_p75,ngram1_precision,ngram1_recall,ngram1_f1,ngram2_precision,ngram2_recall,ngram2_f1,ngram4_precision,ngram4_recall,ngram4_f1,recovered_rate_as_run,exact_match_rate_as_run,cer_mean_as_run,missing_tags,cutoffs,problem_count,cer_threshold,residual_recovered,residual_partial_or_other,residual_missing_recovered_tags,residual_closer_to_transformed_than_original,residual_copied_transformed_input,residual_contains_transformation_markers,residual_empty_recovered_text,file,path
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,word_reversal,480,0.2875,0.2881002087682672,0.2833333333333333,0.0020833333333333333,0.9979166666666667,0.17291666666666666,0.5284910876503095,0.014315595716198126,0.1111111111111111,0.33283132530120485,0.9097106573721664,0.8939854313199436,0.8919750488578712,0.7944374413124623,0.7801875124433405,0.7804212734203723,0.6815060793319284,0.6696184895913784,0.6699902308037131,0.22708333333333333,0.1125,0.2290111135615372,1,1,30,0.02,109,355,1,15,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_word_reversal_decode_recovery_s42_20260902_133450.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_word_reversal_decode_recovery_s42_20260902_133450.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,wrappers,480,0.7270833333333333,0.7270833333333333,0.5770833333333333,0.0,1.0,0.23333333333333334,0.09697860039720198,0.004310344827586207,0.010416666666666666,0.05405405405405406,0.8887256009926917,0.9276798423344634,0.9034711735182117,0.8496794880317239,0.8864782075075364,0.8634202751340667,0.7942303371608086,0.8279772343411315,0.8064870052103997,0.50625,0.19583333333333333,0.11596606893961078,0,0,30,0.02,243,233,,4,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_wrappers_decode_recovery_s42_20260902_133450.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_wrappers_decode_recovery_s42_20260902_133450.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,interleaved_context_line,480,0.9583333333333334,0.9583333333333334,0.95625,0.0,1.0,0.7708333333333334,0.018711750435108355,0.0,0.0,0.0,0.9908031770896388,0.9928885844764177,0.9909590212260478,0.987169468186022,0.9892409088638145,0.9873036840833997,0.9798641802047336,0.9818946244206709,0.9799453381766351,0.94375,0.6979166666666666,0.01880825837942072,0,0,30,0.02,453,26,,1,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_line_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_line_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,interleaved_context_symbol,480,0.0,0.0,0.0,0.15416666666666667,0.9625,0.0,5.948799757775443,0.7617773807021232,0.9268029980039092,1.196678014644295,0.23384958372505915,0.19778591758013161,0.1558623697330736,0.08129003891570598,0.06781749662631197,0.06124512171527342,0.03276429544973859,0.028029933982622206,0.026674494797396146,0.0,0.0,1.6091226791508098,18,4,30,0.02,,229,18,159,74,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_symbol_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_symbol_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,interleaved_context_word,480,0.06875,0.06889352818371608,0.06666666666666667,0.014583333333333334,0.9979166666666667,0.041666666666666664,1.74157899957799,0.18680334394904458,0.53437522377372,0.8527775094802661,0.6279818726712704,0.8352517505468129,0.6706656828105584,0.4682992387244592,0.5898556802164037,0.49102626979830166,0.3885479644658299,0.4794244775530257,0.4047610087400265,0.0625,0.035416666666666666,1.2486421215981933,1,1,30,0.02,30,217,1,218,14,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_word_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_interleaved_context_word_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,opposites,480,0.8291666666666667,0.8291666666666667,0.8,0.0,1.0,0.6479166666666667,0.11212805036939887,0.0,0.0,0.00631578947368421,0.9774932505716245,0.92925156232254,0.937888950401131,0.9723119332909053,0.9237390601214791,0.9324724657257752,0.9639111143544067,0.9149572693933472,0.9236607829318207,0.7645833333333333,0.5791666666666667,0.11872459982569752,0,0,30,0.02,367,100,,13,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_opposites_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_opposites_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,rail_fence,480,0.0,0.0,0.0,0.7395833333333334,0.9833333333333333,0.0,4.643128445488466,0.8438461371809871,0.9028033987366538,0.9445239799570508,0.31829698010051893,0.08324611568057697,0.10773762459289472,0.0537337184135226,0.017122243863911934,0.02182092393320128,0.012080801144725605,0.003846686760560106,0.0051423159743057,0.0,0.0,0.9443628850748215,8,3,30,0.02,,453,8,18,1,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rail_fence_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rail_fence_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,rectangle_perimeter,480,0.004166666666666667,0.0042643923240938165,0.0020833333333333333,0.022916666666666665,0.9770833333333333,0.0020833333333333333,4.373115819332203,0.27318958010835914,0.39325252493095736,0.5019573542385115,0.7751403405555289,0.613732980136205,0.6453382441453731,0.6428303526494765,0.5051716800658818,0.5384796685182066,0.5582725193866973,0.42544597222720887,0.4575798923671199,0.0020833333333333333,0.0020833333333333333,0.46051050298378143,11,5,30,0.02,1,462,11,6,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rectangle_perimeter_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_rectangle_perimeter_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,sentence_reversal,480,0.8,0.8,0.8,0.0,1.0,0.6229166666666667,0.17348200456716464,0.0,0.0,0.00823045267489712,0.9865084985536028,0.9171730166287433,0.9341254156636343,0.9819430701054475,0.9129100590931326,0.9297197401698648,0.9738590566286108,0.9054429951818219,0.9219839121625473,0.775,0.5229166666666667,0.1673174519783669,0,0,30,0.02,372,89,,16,3,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_sentence_reversal_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_sentence_reversal_decode_recovery_s42_20260905_042122.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,snake_horizontal,480,0.07916666666666666,0.08050847457627118,0.04583333333333333,0.020833333333333332,0.9833333333333333,0.016666666666666666,1.5189186217598558,0.1571316267328048,0.236328125,0.37942537006578947,0.8598606310759006,0.7259208464759636,0.7632413907913076,0.7532918529217774,0.6336814146966614,0.6683065774799167,0.637659224722261,0.5286450684256074,0.5602706358862203,0.04375,0.016666666666666666,0.3029038121993156,8,4,30,0.02,21,421,8,30,,,,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_snake_horizontal_decode_recovery_s42_20260905_042122.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/decode_recovery/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_snake_horizontal_decode_recovery_s42_20260905_042122.json
